iter	RMSE
0	1.228788045
1	1.144250756
2	1.06738893
3	0.9975170454
4	0.9345393683
5	0.8773345206
6	0.8256100987
7	0.7786367657
8	0.736201042
9	0.6975137744
10	0.6624627466
11	0.6309074517
12	0.6022327535
13	0.5758714082
14	0.552049415
15	0.5304131061
16	0.5102105337
17	0.4920035607
18	0.4749253254
19	0.4596392467
20	0.4459437171
21	0.4328331886
22	0.4216040616
23	0.4109510946
24	0.4010624887
25	0.390335565
26	0.3815906833
27	0.3738650496
28	0.3652137606
29	0.3584485709
30	0.3508801774
31	0.3447014872
32	0.3387933287
33	0.3320280844
34	0.3269690848
35	0.3220347771
36	0.3156713759
37	0.310381214
38	0.3053100243
39	0.3010847192
40	0.2959877975
41	0.2914806041
42	0.287556875
43	0.2830865905
44	0.2792725132
45	0.2757559577
46	0.2721772498
47	0.2685300769
48	0.2650402666
49	0.2620210054
50	0.2586256321
51	0.2557326069
52	0.2524661461
53	0.2494784404
54	0.2467775974
55	0.2436932613
56	0.2412649343
57	0.2385282852
58	0.2358301224
59	0.2334808235
60	0.2310151185
61	0.2288494684
62	0.2265903429
63	0.2244653574
64	0.2221251312
65	0.2197575403
66	0.2184288478
67	0.2166707515
68	0.2151748379
69	0.2135863245
70	0.2111142492
71	0.209329465
72	0.2073019765
73	0.205579743
74	0.2034173748
75	0.2019657496
76	0.2002481165
77	0.198163038
78	0.1968054876
79	0.1948164629
80	0.1934182088
81	0.1915304475
82	0.189737303
83	0.1882518182
84	0.1869331733
85	0.1853211479
86	0.1837756381
87	0.1825718518
88	0.1812627053
89	0.1798744676
90	0.1784723263
91	0.1770883105
92	0.1756666062
93	0.174641959
94	0.1736296906
95	0.1725583879
96	0.1715426967
97	0.170560333
98	0.1695034452
99	0.1683513428
100	0.1674090526
101	0.1664496053
102	0.1652650921
103	0.1643102668
104	0.1630699947
105	0.1622748031
106	0.1613084992
107	0.1602286349
108	0.1593916411
109	0.1583779114
110	0.1572610422
111	0.1562380162
112	0.1553032504
113	0.1545695997
114	0.1533816775
115	0.1526663545
116	0.1518802315
117	0.151245426
118	0.1504182572
119	0.1496314709
120	0.1488078277
121	0.1481543735
122	0.1474196441
123	0.1466790229
124	0.1458925542
125	0.1447976067
126	0.144115195
127	0.1435602694
128	0.1429285417
129	0.142296935
130	0.1415004821
131	0.1404968174
132	0.1398472212
133	0.1392706809
134	0.1387109749
135	0.1381000046
136	0.1376116294
137	0.1371287332
138	0.1366091927
139	0.135951936
140	0.1350627817
141	0.1345307657
142	0.1340557732
143	0.1333653524
144	0.1327784241
145	0.1321349164
146	0.1315625562
147	0.1311072417
148	0.1306086995
149	0.1301949329
150	0.1296837073
151	0.1292357705
152	0.1287192445
153	0.1282646083
154	0.127523959
155	0.1269438821
156	0.1263558626
157	0.125947417
158	0.1254963841
159	0.1251401263
160	0.1246265398
161	0.1240190709
162	0.1234988405
163	0.1228290387
164	0.1224266903
165	0.122074685
166	0.1216400845
167	0.1212542771
168	0.1209044069
169	0.1205201081
170	0.1200118792
171	0.1195907782
172	0.1192550285
173	0.1188409721
174	0.118447424
175	0.1180194773
176	0.117618259
177	0.1173195431
178	0.1168473083
179	0.1165004879
180	0.1161527923
181	0.1156801161
182	0.1152414196
183	0.1149314529
184	0.1144854138
185	0.114014502
186	0.1137474728
187	0.1134030726
188	0.1129900659
189	0.1126454546
190	0.1123462645
191	0.1119293304
192	0.1115538442
193	0.1110621196
194	0.1106329453
195	0.1103164663
196	0.1100661819
197	0.1097396955
198	0.1093427288
199	0.1090053704
200	0.1085849839
201	0.1082747468
202	0.1079284823
203	0.1076186486
204	0.1073971212
205	0.1070897392
206	0.1068485893
207	0.1066364108
208	0.1064019245
209	0.1058710532
210	0.1056658557
211	0.1054041782
212	0.1051722458
213	0.104808017
214	0.1044112178
215	0.1041526776
216	0.1038977941
217	0.1037003632
218	0.1034442262
219	0.1032175571
220	0.1029959207
221	0.1026535998
222	0.1024284151
223	0.1021420307
224	0.1018150229
225	0.1015821812
226	0.1011549361
227	0.1009477021
228	0.1006797914
229	0.1003996486
230	0.1001508197
231	0.09992814927
232	0.09959037276
233	0.09940576036
234	0.09914512423
235	0.09892170538
236	0.09862607374
237	0.0982986211
238	0.09809915759
239	0.09786515559
240	0.0976590049
241	0.09733455504
242	0.09696021128
243	0.0967970897
244	0.09656239099
245	0.09622419831
246	0.09586756663
247	0.09569456639
248	0.09547908913
249	0.09529590572
250	0.09503933221
251	0.09489634273
252	0.09462039664
253	0.09437741696
254	0.09416498314
255	0.0938300603
256	0.09364787998
257	0.0935050164
258	0.09321281584
259	0.09301641066
260	0.09286758773
261	0.09267763086
262	0.09240204221
263	0.09225298795
264	0.09205016104
265	0.09179836821
266	0.09155444576
267	0.0913848753
268	0.09124009635
269	0.09109853256
270	0.09083134696
271	0.09054700671
272	0.0903784655
273	0.0902484456
274	0.0900617133
275	0.08975114244
276	0.08963678728
277	0.08953173691
278	0.08939135918
279	0.08925277821
280	0.08913420789
281	0.08896543643
282	0.08871742284
283	0.08855006286
284	0.08842199731
285	0.08811691654
286	0.08799200246
287	0.08778241656
288	0.08763804623
289	0.08748379828
290	0.08724111378
291	0.08706049973
292	0.08676952839
293	0.08665176161
294	0.08653203433
295	0.08641630098
296	0.08620342304
297	0.08596811413
298	0.08587359731
299	0.08570759038
300	0.08562050851
301	0.08540754061
302	0.08524364516
303	0.08503703618
304	0.08490722419
305	0.08472543479
306	0.08453849384
307	0.0843859368
308	0.08427836923
309	0.08413196413
310	0.08402788643
311	0.08387913289
312	0.0836559731
313	0.0834591461
314	0.08327696318
315	0.08305610152
316	0.08293422165
317	0.08270610998
318	0.08255429532
319	0.08247344939
320	0.08230049271
321	0.08221491951
322	0.08202659776
323	0.08186837887
324	0.08170989185
325	0.08158477888
326	0.08140539749
327	0.08129991345
328	0.08121886934
329	0.08104774659
330	0.08094968416
331	0.0808141532
332	0.08067829912
333	0.08057065655
334	0.08050897268
335	0.08035658824
336	0.08025515838
337	0.08010664011
338	0.0799192794
339	0.07977586743
340	0.07954357063
341	0.07945944453
342	0.07934325283
343	0.07922228772
344	0.07903952486
345	0.07892332931
346	0.07882541328
347	0.07876385253
348	0.0786259778
349	0.07849753192
350	0.07841479365
351	0.07833044169
352	0.07822758644
353	0.07804606749
354	0.07792268353
355	0.07775341944
356	0.07752865563
357	0.0773859754
358	0.07729311971
359	0.07718403354
360	0.07701074692
361	0.0769096739
362	0.07682662311
363	0.07673918474
364	0.0766050039
365	0.07650427146
366	0.07644971565
367	0.076348505
368	0.07629744169
369	0.07617489854
370	0.0760130931
371	0.07589844611
372	0.0758157679
373	0.07566964573
374	0.07551895389
375	0.07543947863
376	0.07536106981
377	0.07525454458
378	0.07512889292
379	0.07504661875
380	0.0749704415
381	0.07487096821
382	0.07477619111
383	0.07470281659
384	0.07453978572
385	0.0744346272
386	0.07432711362
387	0.07427289254
388	0.07414818823
389	0.07408317985
390	0.07396441298
391	0.07388783575
392	0.07382898039
393	0.0737369537
394	0.07364811917
395	0.07350370737
396	0.07334347996
397	0.07321652702
398	0.07313508013
399	0.07308344622
400	0.07297448931
401	0.07286738673
402	0.07270951901
403	0.07263087246
404	0.07255483704
405	0.07248164691
406	0.07232430036
407	0.07225783914
408	0.07216204586
409	0.07207627518
410	0.07201308431
411	0.0719366253
412	0.07185675715
413	0.0717556897
414	0.07168227523
415	0.07158911371
416	0.07153965954
417	0.07149247042
418	0.07144456389
419	0.07137245656
420	0.07129719919
421	0.07124219937
422	0.0711869972
423	0.07114207009
424	0.07104024602
425	0.07098441673
426	0.07087693069
427	0.07079937534
428	0.07072073491
429	0.07054410675
430	0.07042050799
431	0.07033877878
432	0.0702532981
433	0.07018718875
434	0.07006281279
435	0.06998274867
436	0.06990857343
437	0.06977664927
438	0.06974731004
439	0.06967965514
440	0.06962066045
441	0.0695392433
442	0.06949704341
443	0.06940509273
444	0.06934311972
445	0.06926888277
446	0.06917173958
447	0.06905806995
448	0.06898754602
449	0.06888230224
450	0.06880348455
451	0.06872740983
452	0.06859516768
453	0.06849386528
