iter	Passed	Remaining
0	272	544946
1	344	343705
2	417	277791
3	490	244625
4	564	225373
5	633	210385
6	707	201523
7	780	194363
8	855	189286
9	932	185594
10	1005	181767
11	1077	178498
12	1149	175679
13	1219	172939
14	1291	170901
15	1366	169448
16	1441	168153
17	1536	169236
18	1608	167686
19	1682	166554
20	1757	165620
21	1823	163954
22	1898	163218
23	1975	162633
24	2042	161386
25	2114	160519
26	2198	160623
27	2273	160134
28	2339	159009
29	2412	158452
30	2490	158202
31	2559	157399
32	2630	156784
33	2705	156457
34	2781	156163
35	2852	155611
36	2924	155152
37	2997	154747
38	3064	154087
39	3136	153669
40	3204	153135
41	3278	152850
42	3347	152343
43	3411	151675
44	3484	151391
45	3557	151118
46	3638	151204
47	3715	151079
48	3782	150617
49	3854	150326
50	3918	149755
51	3991	149517
52	4071	149566
53	4140	149210
54	4211	148950
55	4296	149149
56	4373	149082
57	4443	148773
58	4532	149126
59	4599	148732
60	4664	148263
61	4733	147958
62	4796	147458
63	4861	147073
64	4933	146854
65	5025	147275
66	5091	146901
67	5174	147027
68	5244	146765
69	5311	146453
70	5379	146153
71	5449	145924
72	5525	145848
73	5595	145641
74	5671	145556
75	5735	145200
76	5803	144931
77	5870	144663
78	5957	144857
79	6032	144777
80	6113	144830
81	6182	144614
82	6246	144276
83	6313	144005
84	6395	144093
85	6471	144037
86	6546	143946
87	6613	143692
88	6678	143390
89	6746	143173
90	6820	143074
91	6912	143368
92	6982	143171
93	7052	143010
94	7121	142805
95	7187	142555
96	7255	142351
97	7326	142185
98	7390	141911
99	7477	142076
100	7554	142032
101	7633	142043
102	7702	141854
103	7777	141791
104	7839	141486
105	7917	141468
106	7984	141265
107	8057	141156
108	8125	140959
109	8194	140789
110	8260	140573
111	8326	140356
112	8422	140640
113	8502	140661
114	8572	140520
115	8644	140394
116	8711	140210
117	8781	140062
118	8851	139920
119	8918	139723
120	8986	139543
121	9058	139438
122	9123	139221
123	9191	139058
124	9254	138810
125	9324	138679
126	9388	138459
127	9456	138295
128	9528	138193
129	9594	138006
130	9666	137915
131	9736	137785
132	9803	137620
133	9881	137601
134	9959	137589
135	10026	137420
136	10096	137303
137	10163	137132
138	10234	137018
139	10303	136882
140	10372	136753
141	10444	136664
142	10531	136764
143	10606	136709
144	10671	136524
145	10744	136440
146	10814	136326
147	10883	136189
148	10953	136075
149	11022	135940
150	11090	135807
151	11165	135743
152	11231	135589
153	11303	135490
154	11366	135302
155	11431	135121
156	11507	135090
157	11572	134911
158	11642	134808
159	11711	134680
160	11776	134514
161	11852	134470
162	11926	134415
163	11993	134269
164	12064	134166
165	12132	134040
166	12199	133902
167	12268	133784
168	12333	133626
169	12399	133478
170	12473	133412
171	12541	133294
172	12635	133441
173	12705	133339
174	12780	133285
175	12853	133212
176	12923	133108
177	12990	132972
178	13056	132828
179	13126	132723
180	13190	132565
181	13262	132481
182	13330	132358
183	13399	132249
184	13466	132112
185	13534	131994
186	13605	131904
187	13680	131854
188	13750	131755
189	13816	131620
190	13879	131459
191	13951	131380
192	14021	131280
193	14084	131120
194	14150	130980
195	14234	131011
196	14299	130874
